ID,CATEGORY
0,violin
1,hat
2,penguin
3,hand
4,skyscraper
5,violin
6,nose
7,banana
8,chair
9,keyboard
10,flashlight
11,eyeglasses
12,flashlight
13,hat
14,trombone
15,chair
16,bulldozer
17,nose
18,flashlight
19,hand
20,trombone
21,violin
22,eyeglasses
23,laptop
24,spider
25,hat
26,pig
27,pig
28,spider
29,keyboard
30,penguin
31,pig
32,chair
33,flashlight
34,laptop
35,nose
36,pig
37,flashlight
38,harp
39,snowman
40,trombone
41,trombone
42,keyboard
43,nose
44,penguin
45,flashlight
46,flashlight
47,foot
48,keyboard
49,nose
50,chair
51,banana
52,chair
53,spider
54,bulldozer
55,nose
56,snowman
57,trombone
58,keyboard
59,nose
60,keyboard
61,banana
62,skyscraper
63,flashlight
64,eyeglasses
65,pig
66,chair
67,laptop
68,keyboard
69,snowman
70,flashlight
71,chair
72,pig
73,harp
74,flashlight
75,parrot
76,violin
77,harp
78,nose
79,eyeglasses
80,bulldozer
81,penguin
82,spider
83,spider
84,trombone
85,eyeglasses
86,laptop
87,trombone
88,violin
89,flashlight
90,trombone
91,eyeglasses
92,bulldozer
93,violin
94,skyscraper
95,flashlight
96,hand
97,banana
98,violin
99,snowman
100,parrot
101,spider
102,hand
103,violin
104,pig
105,eyeglasses
106,spider
107,bulldozer
108,chair
109,hat
110,chair
111,harp
112,eyeglasses
113,banana
114,bulldozer
115,hand
116,foot
117,eyeglasses
118,skyscraper
119,skyscraper
120,flashlight
121,laptop
122,pig
123,chair
124,pig
125,trombone
126,pig
127,pig
128,bulldozer
129,violin
130,penguin
131,nose
132,hand
133,parrot
134,hat
135,violin
136,foot
137,spider
138,hat
139,keyboard
140,nose
141,snowman
142,hand
143,hat
144,eyeglasses
145,trombone
146,pig
147,harp
148,violin
149,spider
150,parrot
151,chair
152,banana
153,nose
154,laptop
155,hand
156,penguin
157,eyeglasses
158,spider
159,hat
160,eyeglasses
161,foot
162,chair
163,penguin
164,laptop
165,flashlight
166,foot
167,keyboard
168,hat
169,pig
170,parrot
171,penguin
172,pig
173,pig
174,penguin
175,foot
176,banana
177,trombone
178,flashlight
179,flashlight
180,laptop
181,foot
182,hand
183,snowman
184,eyeglasses
185,hand
186,bulldozer
187,violin
188,spider
189,laptop
190,keyboard
191,snowman
192,trombone
193,chair
194,skyscraper
195,flashlight
196,trombone
197,eyeglasses
198,parrot
199,banana
200,chair
201,eyeglasses
202,hat
203,snowman
204,eyeglasses
205,bulldozer
206,spider
207,skyscraper
208,nose
209,snowman
210,bulldozer
211,banana
212,harp
213,pig
214,banana
215,nose
216,foot
217,hand
218,eyeglasses
219,snowman
220,snowman
221,violin
222,hand
223,penguin
224,eyeglasses
225,pig
226,penguin
227,keyboard
228,skyscraper
229,eyeglasses
230,snowman
231,spider
232,hat
233,flashlight
234,pig
235,keyboard
236,spider
237,violin
238,trombone
239,pig
240,parrot
241,laptop
242,flashlight
243,hand
244,violin
245,violin
246,spider
247,flashlight
248,keyboard
249,laptop
250,foot
251,bulldozer
252,parrot
253,harp
254,keyboard
255,harp
256,hat
257,pig
258,laptop
259,pig
260,eyeglasses
261,skyscraper
262,nose
263,eyeglasses
264,laptop
265,spider
266,harp
267,banana
268,parrot
269,chair
270,violin
271,violin
272,hat
273,spider
274,penguin
275,keyboard
276,parrot
277,violin
278,nose
279,violin
280,foot
281,chair
282,snowman
283,foot
284,foot
285,violin
286,harp
287,skyscraper
288,keyboard
289,keyboard
290,pig
291,flashlight
292,trombone
293,violin
294,chair
295,hand
296,bulldozer
297,penguin
298,penguin
299,keyboard
300,laptop
301,flashlight
302,flashlight
303,parrot
304,penguin
305,penguin
306,eyeglasses
307,penguin
308,nose
309,pig
310,chair
311,pig
312,foot
313,flashlight
314,eyeglasses
315,eyeglasses
316,chair
317,flashlight
318,trombone
319,trombone
320,harp
321,chair
322,banana
323,spider
324,chair
325,trombone
326,harp
327,chair
328,violin
329,banana
330,spider
331,trombone
332,harp
333,parrot
334,flashlight
335,hat
336,chair
337,skyscraper
338,violin
339,penguin
340,trombone
341,keyboard
342,harp
343,banana
344,hat
345,hat
346,bulldozer
347,banana
348,trombone
349,hat
350,eyeglasses
351,nose
352,snowman
353,skyscraper
354,chair
355,laptop
356,bulldozer
357,bulldozer
358,penguin
359,trombone
360,skyscraper
361,violin
362,spider
363,parrot
364,penguin
365,flashlight
366,hand
367,trombone
368,pig
369,keyboard
370,trombone
371,harp
372,snowman
373,spider
374,penguin
375,nose
376,violin
377,hat
378,skyscraper
379,skyscraper
380,violin
381,nose
